Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura_login_testlistener,Chrome 121.0.0.0,,,08-02-2024 05:57:39,08-02-2024 05:57:55,15.732s,PASSED
,,,,,,,
Test Cases/CURA/Login,Chrome 121.0.0.0,,,08-02-2024 05:57:40,08-02-2024 05:57:55,15.380s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 05:57:40,08-02-2024 05:57:45,5.523s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 05:57:46,08-02-2024 05:57:47,1.147s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,08-02-2024 05:57:47,08-02-2024 05:57:50,3.753s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,08-02-2024 05:57:50,08-02-2024 05:57:51,0.500s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,08-02-2024 05:57:51,08-02-2024 05:57:52,1.399s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 121.0.0.0,,,08-02-2024 05:57:52,08-02-2024 05:57:53,0.864s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 121.0.0.0,,,08-02-2024 05:57:53,08-02-2024 05:57:54,0.770s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,08-02-2024 05:57:54,08-02-2024 05:57:55,1.055s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 05:57:55,08-02-2024 05:57:55,0.177s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 05:57:55,08-02-2024 05:57:55,0.009s,PASSED
