Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura_login_testlistener,Chrome 121.0.0.0,,,08-02-2024 09:21:08,08-02-2024 09:21:27,19.266s,PASSED
,,,,,,,
Test Cases/CURA/TC_CURA_Login_002,Chrome 121.0.0.0,,,08-02-2024 09:21:08,08-02-2024 09:21:27,18.951s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 09:21:09,08-02-2024 09:21:18,9.078s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 09:21:18,08-02-2024 09:21:19,1.256s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,08-02-2024 09:21:19,08-02-2024 09:21:23,3.898s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,08-02-2024 09:21:23,08-02-2024 09:21:23,0.578s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,08-02-2024 09:21:23,08-02-2024 09:21:24,0.960s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 121.0.0.0,,,08-02-2024 09:21:24,08-02-2024 09:21:25,0.912s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 121.0.0.0,,,08-02-2024 09:21:25,08-02-2024 09:21:26,0.790s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,08-02-2024 09:21:26,08-02-2024 09:21:27,1.048s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 09:21:27,08-02-2024 09:21:27,0.250s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 09:21:27,08-02-2024 09:21:27,0.010s,PASSED
